X,Y,Z,Name,description,gx_media_links
-41.2726175,-16.0102701,0,"431",,
-41.2701007,-16.0110106,0,"434",,
-41.2734827,-16.0101763,0,"435",,
-41.2735659,-16.0101221,0,"436",,
-41.2736544,-16.0100963,0,"437",,
-41.2737161,-16.0100899,0,"438",,
-41.2738046,-16.0100473,0,"439",,
-41.2740732,-16.0102496,0,"444",,
-41.2739482,-16.0100033,0,"448",,
-41.2740541,-16.0099557,0,"450",,
-41.2742164,-16.0099054,0,"453",,
-41.2742687,-16.0098732,0,"454",,
-41.274329,-16.0098474,0,"455",,
-41.2744645,-16.0098015,0,"457",,
-41.274549,-16.0097834,0,"458",,
-41.2745973,-16.0097615,0,"459",,
-41.274671,-16.009737,0,"460",,
-41.2747429,-16.0097275,0,"461",,
-41.2747939,-16.009694,0,"462",,
-41.2748395,-16.0096759,0,"463",,
-41.2750607,-16.0095895,0,"464",,
-41.2751238,-16.0095908,0,"465",,
-41.2752914,-16.0095315,0,"466",,
-41.2746826,-16.0101078,0,"467",,
-41.2748248,-16.0100717,0,"471",,
-41.2751013,-16.0100149,0,"474",,
-41.275167,-16.0100033,0,"475",,
-41.2752287,-16.0099724,0,"476",,
-41.2753682,-16.0099608,0,"477",,
-41.2757423,-16.0099956,0,"478",,
-41.2757946,-16.0100369,0,"479",,
-41.2758234,-16.0097649,0,"481",,
-41.275932,-16.0097816,0,"482",,
-41.2760125,-16.0098242,0,"483",,
-41.2765017,-16.0102506,0,"484",,
-41.2773081,-16.0102396,0,"486",,
-41.2767167,-16.0100526,0,"487",,
-41.2763994,-15.9917328,0,"491",,
-41.2762931,-15.991969,0,"492",,
-41.2762072,-15.9919793,0,"493",,
-41.2761348,-15.9919715,0,"494",,
-41.2762716,-15.992134,0,"495",,
-41.2762072,-15.9921391,0,"496",,
-41.2752805,-15.9919767,0,"502",,
-41.275196,-15.9919702,0,"503",,
-41.2764202,-15.9926515,0,"505",,
-41.27681,-15.9932013,0,"506",,
-41.2760351,-15.9925074,0,"508",,
-41.275846,-15.9926957,0,"510",,
-41.2760364,-15.9929651,0,"511",,
-41.276041,-15.9931434,0,"512",,
-41.2762672,-15.9934227,0,"513",,
-41.2782286,-15.9918568,0,"515",,
-41.2781724,-15.9919165,0,"516",,
-41.2780948,-15.9920389,0,"517",,
-41.277953,-15.9919901,0,"519",,
-41.2777484,-15.9922463,0,"522",,
-41.2777632,-15.9924861,0,"523",,
-41.2775566,-15.9924745,0,"524",,
-41.2776344,-15.9926704,0,"525",,
-41.2774775,-15.9925724,0,"526",,
-41.2772455,-15.993181,0,"529",,
-41.2770323,-15.9932325,0,"530",,
-41.2783117,-15.9925673,0,"533",,
-41.2786833,-15.9923334,0,"535",,
-41.2785934,-15.9920071,0,"536",,
-41.2775527,-15.993986,0,"537",,
-41.277023,-15.9929044,0,"538",,
-41.27696,-15.9927316,0,"539",,
-41.2770793,-15.9925498,0,"542",,
-41.2774566,-15.9922716,0,"544",,
-41.2775546,-15.99213,0,"545",,
-41.2776351,-15.9920037,0,"546",,
-41.2777236,-15.9918799,0,"547",,
-41.2776834,-15.991699,0,"550",,
-41.2778468,-15.9914634,0,"551",,
-41.2777784,-15.9914712,0,"552",,
-41.2775236,-15.9915086,0,"553",,
-41.2739866,-15.992504,0,"554",,
-41.2748399,-15.9948886,0,"558",,
-41.2744138,-15.9943797,0,"559",,
-41.2752132,-15.9953805,0,"560",,
-41.2752686,-15.994543,0,"565",,
-41.2784741,-15.9931284,0,"567",,
-41.2786571,-15.9929931,0,"568",,
-41.2787263,-15.9938526,0,"570",,
-41.278847,-15.9943757,0,"571",,
-41.2784477,-15.9942804,0,"572",,
-41.2777046,-15.9944001,0,"574",,
-41.278065,-15.9950801,0,"576",,
-41.2777928,-15.9951678,0,"577",,
-41.2777861,-15.9952103,0,"578",,
-41.278124,-15.9953792,0,"579",,
-41.277935,-15.9954153,0,"581",,
-41.2781468,-15.9954527,0,"582",,
-41.278702,-15.995428,0,"585",,
-41.2786617,-15.9952592,0,"587",,
-41.2784914,-15.9952295,0,"589",,
-41.2786483,-15.9951586,0,"590",,
-41.2784109,-15.9948337,0,"592",,
-41.278352,-15.994612,0,"593",,
-41.2783372,-15.9945537,0,"594",,
-41.2786348,-15.9982972,0,"610",,
-41.2786791,-15.9984235,0,"611",,
